commit_hash,author,date,message,file_name,lines_added,lines_deleted,nloc
4e272fc042cab5505c3c5ae796caa6b06f9dae9d,A Brooks,2019-05-14 15:08:00-05:00,Fix various small spelling errors.,appcontext.rst,1,1,
4e272fc042cab5505c3c5ae796caa6b06f9dae9d,A Brooks,2019-05-14 15:08:00-05:00,Fix various small spelling errors.,becomingbig.rst,1,1,
4e272fc042cab5505c3c5ae796caa6b06f9dae9d,A Brooks,2019-05-14 15:08:00-05:00,Fix various small spelling errors.,blueprints.rst,2,2,
4e272fc042cab5505c3c5ae796caa6b06f9dae9d,A Brooks,2019-05-14 15:08:00-05:00,Fix various small spelling errors.,config.rst,3,3,
4e272fc042cab5505c3c5ae796caa6b06f9dae9d,A Brooks,2019-05-14 15:08:00-05:00,Fix various small spelling errors.,design.rst,2,2,
4e272fc042cab5505c3c5ae796caa6b06f9dae9d,A Brooks,2019-05-14 15:08:00-05:00,Fix various small spelling errors.,extensiondev.rst,1,1,
4e272fc042cab5505c3c5ae796caa6b06f9dae9d,A Brooks,2019-05-14 15:08:00-05:00,Fix various small spelling errors.,extensions.rst,1,1,
4e272fc042cab5505c3c5ae796caa6b06f9dae9d,A Brooks,2019-05-14 15:08:00-05:00,Fix various small spelling errors.,shell.rst,1,1,
4e272fc042cab5505c3c5ae796caa6b06f9dae9d,A Brooks,2019-05-14 15:08:00-05:00,Fix various small spelling errors.,unicode.rst,2,2,
af813d0d36ab498fe9a348637648e5489f0fc246,Matt Cooper,2019-05-16 14:09:26-04:00,add Azure Pipelines to readme,README.rst,1,4,
bcf8cb1fd4605046a76b956bfbfaab246d9f8d18,David Lord,2019-05-16 12:45:03-07:00,"azure config, fix docs build",.azure-pipelines.yml,11,8,
bcf8cb1fd4605046a76b956bfbfaab246d9f8d18,David Lord,2019-05-16 12:45:03-07:00,"azure config, fix docs build",CONTRIBUTING.rst,2,0,
bcf8cb1fd4605046a76b956bfbfaab246d9f8d18,David Lord,2019-05-16 12:45:03-07:00,"azure config, fix docs build",tox.ini,3,4,
84f8e1634fed25de6ab065899234535d531e44ab,David Lord,2019-05-16 13:53:49-07:00,azure pipelines ci on 1.0.x branch,.appveyor.yml,0,26,
84f8e1634fed25de6ab065899234535d531e44ab,David Lord,2019-05-16 13:53:49-07:00,azure pipelines ci on 1.0.x branch,.azure-pipelines.yml,85,0,
84f8e1634fed25de6ab065899234535d531e44ab,David Lord,2019-05-16 13:53:49-07:00,azure pipelines ci on 1.0.x branch,.travis.yml,0,57,
84f8e1634fed25de6ab065899234535d531e44ab,David Lord,2019-05-16 13:53:49-07:00,azure pipelines ci on 1.0.x branch,CONTRIBUTING.rst,2,0,
84f8e1634fed25de6ab065899234535d531e44ab,David Lord,2019-05-16 13:53:49-07:00,azure pipelines ci on 1.0.x branch,README.rst,1,5,
84f8e1634fed25de6ab065899234535d531e44ab,David Lord,2019-05-16 13:53:49-07:00,azure pipelines ci on 1.0.x branch,tox.ini,27,13,
ac78da0bb02fc5c07c896a77d3fc2b32e7924407,Michael E. Karpeles,2019-04-26 17:16:50-07:00,removed unused reference to url_join,blueprints.py,0,1,192.0
6142aa64ae4d0957d735b6b86c5abe15fea06504,brunoais,2019-04-14 15:48:02+01:00,"More explicit explanation: session testing

Use a more explicit explanation on how to write code to test own code
when sessions are needed.
The previous code was not fully explicit that the client is supposed
to be called after the session transaction and not during.",testing.rst,4,3,
e2f4b53396f4676978f86492dae5d3952446df89,DamianSkrzypczak,2019-05-03 20:59:22+02:00,Fix dev-server warning message readability (#3168),cli.py,2,2,564.0
a4f0f197962b27a002c45f5e27b13a8d4a27ee63,David Lord,2019-05-17 08:39:16-07:00,don't push app context for test client json,CHANGES.rst,3,0,
a4f0f197962b27a002c45f5e27b13a8d4a27ee63,David Lord,2019-05-17 08:39:16-07:00,don't push app context for test client json,__init__.py,62,32,138.0
a4f0f197962b27a002c45f5e27b13a8d4a27ee63,David Lord,2019-05-17 08:39:16-07:00,don't push app context for test client json,testing.py,3,7,123.0
a4f0f197962b27a002c45f5e27b13a8d4a27ee63,David Lord,2019-05-17 08:39:16-07:00,don't push app context for test client json,test_testing.py,27,0,290.0
99660cc40984015cbbcd27d1cdc19376b2536443,David Lord,2019-05-17 10:57:51-07:00,release version 1.0.3,CHANGES.rst,4,4,
99660cc40984015cbbcd27d1cdc19376b2536443,David Lord,2019-05-17 10:57:51-07:00,release version 1.0.3,__init__.py,1,1,23.0
ad709be46e660b76263a50bfecdb390f0863a90c,icreatedanaccount,2019-05-06 10:56:35-04:00,Allow mode='rt' on open_resource() helper,helpers.py,2,0,455.0
ad709be46e660b76263a50bfecdb390f0863a90c,icreatedanaccount,2019-05-06 10:56:35-04:00,Allow mode='rt' on open_resource() helper,test_helpers.py,25,0,852.0
6f703a564c97b034eb0e98419595b7fa32d3562a,David Lord,2019-05-17 13:20:31-07:00,clean up open_resource and tests,CHANGES.rst,2,0,
6f703a564c97b034eb0e98419595b7fa32d3562a,David Lord,2019-05-17 13:20:31-07:00,clean up open_resource and tests,helpers.py,4,4,453.0
6f703a564c97b034eb0e98419595b7fa32d3562a,David Lord,2019-05-17 13:20:31-07:00,clean up open_resource and tests,test_helpers.py,8,18,841.0
6dbcbdee3553683215d9e50b59834cb9af3aebd3,David Lord,2019-05-17 13:26:54-07:00,add sphinx-issues,conf.py,2,0,83.0
6dbcbdee3553683215d9e50b59834cb9af3aebd3,David Lord,2019-05-17 13:26:54-07:00,add sphinx-issues,requirements.txt,1,0,
1f3923a999e3b4430ea76727e07fb062b24d6a61,LeeW,2019-05-06 12:08:28-04:00,"Inherit ""methods"" in MethodView

* Current behavior: If a base class inherits MethodView and child class
  inherits without overwriting ""methods"". The ""methods"" defined in base
  class would be ignored
* Fix: Inherit all the ""methods"" defined in base classes if ""methods""
  variable is not overwritten",CHANGES.rst,4,1,
1f3923a999e3b4430ea76727e07fb062b24d6a61,LeeW,2019-05-06 12:08:28-04:00,"Inherit ""methods"" in MethodView

* Current behavior: If a base class inherits MethodView and child class
  inherits without overwriting ""methods"". The ""methods"" defined in base
  class would be ignored
* Fix: Inherit all the ""methods"" defined in base classes if ""methods""
  variable is not overwritten",views.py,4,0,48.0
1f3923a999e3b4430ea76727e07fb062b24d6a61,LeeW,2019-05-06 12:08:28-04:00,"Inherit ""methods"" in MethodView

* Current behavior: If a base class inherits MethodView and child class
  inherits without overwriting ""methods"". The ""methods"" defined in base
  class would be ignored
* Fix: Inherit all the ""methods"" defined in base classes if ""methods""
  variable is not overwritten",test_views.py,19,2,167.0
af3c24c7dff239b2f1c9765bce9bef46525294bc,EtiennePelletier,2019-05-07 17:28:50-04:00,"Make jinja_options a dict rather than ImmutaleDict

This allows changing jinja environment options from the flask app:
>>> app.jinja_options['undefined'] = jinja2.ChainableUndefined",app.py,1,1,823.0
